Divi,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type
Preoperatieve screening (POS),Algemeen,,,,,,,,,
Prikkelbare darm syndroom (PDS),Maag-darm-leverziekten,,,,,,,,,
Proactieve zorg voor iedereen,Algemeen,,,,,,,,,
Proactieve zorgplanning,Algemeen,,,,,,,,,
Prostaatpunctie,Radiologie,Urologie,,,,,,,,
Prostaatverwijdering,Chirurgie,Urologie,,,,,,,,
R-CHOP bij non-hodgkin,Oncologie,,,,,,,,,
ROS1 Fusie,Oncologie,Wetenschappelijk onderzoek,,,,,,,,
Radiotherapie,Borstkanker,Longziekten,Oncologie,,,,,,,
Recapture studie,Wetenschappelijk onderzoek,,,,,,,,,
Reconstructie van het neustussenschot,Chirurgie,KNO,,,,,,,,
Reconstructie van het oor,Chirurgie,KNO,,,,,,,,
Reductiebehandeling,Dermatologie,,,,,,,,,
Refluxziekte bij baby’s,Kindergeneeskunde,,,,,,,,,
Reumatoïde artritis,Reumatologie,,,,,,,,,
Robotoperatie bij kanker,Oncologie,,,,,,,,,
Ruggenprik bij een bevalling,Anesthesiologie en pijnbestrijding,Gynaecologie en Verloskunde,,,,,,,,
STEEP,Dermatologie,,,,,,,,,
SWAB Coronatest,Algemeen,,,,,,,,,
Samen beslissen,Algemeen,,,,,,,,,
Samen beslissen en informed consent,Algemeen,,,,,,,,,
Saturatiemeting,Longziekten,,,,,,,,,
Scaphoid fractuur,Chirurgie,Orthopedie,,,,,,,,
Scheelzien,Kindergeneeskunde,Oogheelkunde,,,,,,,,
Schildklieroperatie,Chirurgie,Maag-darm-leverziekten,,,,,,,,
Schildwachtklierprocedure,Borstkanker,Oncologie,,,,,,,,
Schouderprothese,Orthopedie,,,,,,,,,
Scopie van de knie,Orthopedie,,,,,,,,,
"Scopie van de knie, schouder en heup",Orthopedie,,,,,,,,,
Scopie van de schouder,Orthopedie,,,,,,,,,
Sedatie bronchoscopie,Anesthesiologie en pijnbestrijding,Longziekten,,,,,,,,
SensoReady pen (Erelzi),Partner Divi,-,,,,,,,,
SensoReady pen (Hyrimoz),Dermatologie,Interne Geneeskunde,Maag-darm-leverziekten,Reumatologie,Partner Divi,,,,,
Septumcorrectie,KNO,,,,,,,,,
Shuntbepaling,Longziekten,,,,,,,,,
Sigmoïdoscopie,Maag-darm-leverziekten,,,,,,,,,
Sleutelbeenbreuk,Chirurgie,Orthopedie,,,,,,,,
Slokdarmoperatie (EROES),Chirurgie,Maag-darm-leverziekten,,,,,,,,
Sonde inbrengen,Kindergeneeskunde,,,,,,,,,
Sotyktu,Partner Divi,-,,,,,,,,
Spataderen,Chirurgie,,,,,,,,,
Spinale verdoving (ruggenprik),Anesthesiologie en pijnbestrijding,,,,,,,,,
Spirometrie,Longziekten,,,,,,,,,
Spirometrie voor kinderen,Kindergeneeskunde,Longziekten,,,,,,,,
Sportpoli,Partner Divi,-,,,,,,,,
Sputuminductie,Longziekten,,,,,,,,,
Staaroperatie,Oogheelkunde,,,,,,,,,
Stabiliseren van de schouder,Orthopedie,,,,,,,,,
Stamcelafname,Oncologie,,,,,,,,,
Standscorrectie van het been,Orthopedie,,,,,,,,,
Stereotactisch biopt (mammabiopsie),Borstkanker,Oncologie,,,,,,,,
Stomamaterialen,Chirurgie,Maag-darm-leverziekten,Urologie,,,,,,,
StomazorgPlus service,Partner Divi,-,,,,,,,,
Stoppen met pijnstillers,Algemeen,,,,,,,,,
Stoppen met roken,Algemeen,,,,,,,,,
Stoppen met roken en vapen,-,,,,,,,,,
Subtenon blok (oogblok),Oogheelkunde,,,,,,,,,
TAVI (Transfemoraal),Cardiologie,,,,,,,,,
TAVI (direct transaortaal),Cardiologie,,,,,,,,,
TCD-onderzoek,Neurologie,,,,,,,,,
TENS-behandeling,Anesthesiologie en pijnbestrijding,,,,,,,,,
TIA,Neurologie,,,,,,,,,
TRASTUZUMAB (Herceptin®),,"PDF, Partner Divi",,,,,,,,
TRASTUZUMAB-EMTANSINE (Kadcyla®),,"PDF, Partner Divi",,,,,,,,
Tanden poetsen,Kindergeneeskunde,"Mond-, kaak- en aangezichtschirurgie",,,,,,,,
Teenamputatie,Chirurgie,,,,,,,,,
Tezspire (tezepelumab),Partner Divi,-,,,,,,,,
Thoraxdrainage,Longziekten,,,,,,,,,
Thuis vernevelen met een compressor,Longziekten,,,,,,,,,
Thuismeten met Luscii,Algemeen,,,,,,,,,
Tinnitus,KNO,,,,,,,,,
Triggerfinger,Plastische Chirurgie,,,,,,,,,
Trommelvliessluiting,KNO,,,,,,,,,
Uitkomsten cementloze knieprothese,Orthopedie,Wetenschappelijk onderzoek,,,,,,,,
Urodynamisch onderzoek,Urologie,,,,,,,,,
Uw kind begeleiden als u kanker heeft,Algemeen,Oncologie,,,,,,,,
VEP-onderzoek,Neurologie,,,,,,,,,
VNG-onderzoek,Neurologie,,,,,,,,,
Valpoli,Geriatrie,,,,,,,,,
Van biological naar biosimilar,Borstkanker,Dermatologie,Longziekten,Maag-darm-leverziekten,Oncologie,Reumatologie,,,,
Veilig leren drinken,Neonatologie,,,,,,,,,
"Ventielen, wat nu?",Longziekten,,,,,,,,,
Verdoving met een plexus block,Anesthesiologie en pijnbestrijding,,,,,,,,,
Versiepoging,Gynaecologie en Verloskunde,,,,,,,,,
Verstandskies verwijderen,Chirurgie,"Mond-, kaak- en aangezichtschirurgie",,,,,,,,
Vervangen van een ICD of Pacemaker,Cardiologie,,,,,,,,,
Verwijderen van amandelen (kinderen),KNO,Kindergeneeskunde,,,,,,,,
Verwijderen van de blaas met de aanleg van een neoblaas,Chirurgie,Urologie,,,,,,,,
Verwijderen van de blaas met de aanleg van een urinestoma,Chirurgie,Urologie,,,,,,,,
Verwijderen van de urinekatheter (ballonpoort doorknippen),Urologie,,,,,,,,,
Verwijderen van de urinekatheter (legen met spuitje),Urologie,,,,,,,,,
Verwijderen van een huidafwijking (huidexcisie),Dermatologie,,,,,,,,,
Verzakkingsoperatie,Gynaecologie en Verloskunde,,,,,,,,,
Verzorging van de nefrostomiekatheter,Urologie,,,,,,,,,
Verzorging van de tracheacanule,Intensive Care,KNO,,,,,,,,
Verzorging van het tracheostoma,KNO,,,,,,,,,
Vetvrije massa bepaling,Longziekten,,,,,,,,,
Video Capsule Endoscopie,Maag-darm-leverziekten,,,,,,,,,
Video-interactiebegeleiding op de afdeling neonatologie,Neonatologie,,,,,,,,,
Voorbereiding op een longtransplantatie,Longziekten,,,,,,,,,
Voorbereiding op uw opname in het ziekenhuis,Algemeen,,,,,,,,,
Voorbereiding voor niertransplantatie,Interne Geneeskunde,,,,,,,,,
Voorste kruisbandreconstructie,Orthopedie,,,,,,,,,
Voorste kruisbandreconstructie: 3 technieken,Orthopedie,,,,,,,,,
WIFSA techniek,Plastische Chirurgie,,,,,,,,,
Wait-and-see bij Chronische Lymfatische Leukemie,Oncologie,,,,,,,,,
Wat doet beademing met het lichaam?,Intensive Care,,,,,,,,,
Wat gebeurt er met de zaad- en eicellen in het laboratorium?,Gynaecologie en Verloskunde,,,,,,,,,
Wat is MS?,Neurologie,,,,,,,,,
Wat is een MS schub?,Neurologie,,,,,,,,,
Wat is een biobank?,Wetenschappelijk onderzoek,,,,,,,,,
Wat is epilepsie?,Neurologie,,,,,,,,,
Wat is palliatieve zorg?,Algemeen,,,,,,,,,
Welzijn op Recept,Algemeen,,,,,,,,,
Werking van de nieren,Interne Geneeskunde,,,,,,,,,
Wetenschappelijk onderzoek opioïden voor behandeling kortademigheid bij COPD,Longziekten,Wetenschappelijk onderzoek,,,,,,,,
Wonden,Dermatologie,,,,,,,,,
Wortelblokkade,-,,,,,,,,,
Wortelpuntbehandeling,"Mond-, kaak- en aangezichtschirurgie",,,,,,,,,
X Bewegingsapparaat,Radiologie,,,,,,,,,
X Thorax,Radiologie,,,,,,,,,
Zalven bij eczeem,Dermatologie,,,,,,,,,
Zelf katheteriseren (Man),Urologie,,,,,,,,,
Zelf katheteriseren (Vrouw),Urologie,,,,,,,,,
Ziek zijn en seksualiteit,Oncologie,,,,,,,,,
Ziekenhuisverplaatste zorg medicatie (ZVZ-medicatie),Dermatologie,Gynaecologie en Verloskunde,Interne Geneeskunde,Kindergeneeskunde,Longziekten,Maag-darm-leverziekten,Oncologie,Reumatologie,,
Zorgpad bij de overgang,Gynaecologie en Verloskunde,,,,,,,,,
Zorgpad chirurgie bij ouderen,Chirurgie,,,,,,,,,
Zorgverleners bij diabetes,Interne Geneeskunde,,,,,,,,,
Zuurstofondersteuning in het ziekenhuis,Anesthesiologie en pijnbestrijding,Cardiologie,Chirurgie,Geriatrie,Intensive Care,Longziekten,Oncologie,Spoedeisende Hulp en Gipskamer,,
Zuurstofondersteuning thuis,Longziekten,,,,,,,,,
Zwangerschapsdiabetes (Diabetes Gravidarum),Gynaecologie en Verloskunde,Interne Geneeskunde,,,,,,,,
eNose onderzoek,Longkanker,Longziekten,Oncologie,,,,,,,
